question,answer_llm,answer_original,document
Can you add a 'register now' option to your website for Summer 2027 section?,"Based on the provided context, I don't have any information about adding a ""register now"" option to the website for the Summer 2027 section. The course and module information is mentioned in different parts of the text, but there is no direct mention or guidance on how to add a registration feature.

However, since you asked if it's possible to use ""External agent skills"" (Claude Code, Codex, Kestra CTL) for workflow management, let me answer that directly:

Yes, External agent skills (such as Kestra CTL) can be used for workflow and orchestration in Kestra. To know more or get started with these options, I would need additional guidance from the course instructor or further context.

As to your question about registering now, I'm afraid I don't have enough information to answer that directly.",Summer 2027.,bd31146b0e
Are there any lectures or videos for the LLM Zoomcamp course and where should I start looking?,"For the LLM Zoomcamp course, you can find lectures and videos in the main entry point: the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp). Open the lesson folders, where each page has videos linked at the top.

If you need to check for updated materials, focus on the GitHub repository first.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Can you give me a link to the relevant materials/video files so i can access in the zoom meeting?,"I don't know about specific video files or links to be accessed during a zoom meeting. However, I can suggest some alternatives:

1. YouTube Live: You can watch live sessions on DataTalksClub's [YouTube Channel](https://www.youtube.com/c/DataTalksClub).
2. Announcements channel: The video URL is posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before each session begins.
3. GitHub repository: For the Open-Source Data Ingestion (dlt) workshop, you can find the current materials and video link by checking out the `cohorts/2026/workshops/dlt` directory on GitHub.

If you're looking for specific instructions or tips for navigating a Zoom meeting, I recommend checking the provided context and searching for videos or tutorials related to Zoom usage.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
How do i find the video for the general course-related questions section?,"To find the video for the General Course-Related Questions section, you can follow these steps:

1. Go to the DataTalksClub YouTube Channel (https://www.youtube.com/c/DataTalksClub).
2. Click on the ""Live"" tab to watch real-time videos.
3. Look for announced live streams in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp). The video URL will be posted there before it begins.
4. Alternatively, you can also join YouTube Live streaming parties using Slido (link is pinned in the chat when live).

Note that only instructors/presenters/TAs have access to the zoom link for ""Office Hours"" or live/workshop sessions.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a specific file or folder that i should check first when trying to find videos?,"There is no specific file or folder mentioned that you should check first when trying to find videos in the provided context. However, it mentions that each lesson page has relevant videos linked at the top within the lesson folders in the GitHub repository, making it likely to find videos by exploring the repository.

If you're unsure about a particular video or want more information on video-related resources, I would recommend checking out the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) specifically for lesson folders and their content.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
I have checked the GitHub repo but i couldn't see the videos Can someone please explain more about how are the videos linked on these pages?,"The videos on the LLM Zoomcamp pages are linked at the top of each lesson page in the GitHub repository under the ""[LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp)"".

When you open the lesson folders in the repo, the relevant videos for each lesson will be directly linked on that page.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
What's the process for tracking my progress in LLM Zoomcamp?,"According to the provided context, it appears that there isn't a dedicated platform or tool specifically developed by DataTalks.Club for tracking progress in LLM Zoomcamp that is mentioned. However, you can track your progress within the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/) which contains the current cohort structure, homework, deadlines, and progression metrics.

So, to summarize:

The process for tracking your progress in LLM Zoomcamp is to use the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/) provided by DataTalks.Club.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Can I find the full syllabus of LLM Zoomcamp on the course management platform?,"To find the full syllabus of LLM Zoomcamp on the course management platform, navigate to: 

https://courses.datatalks.club/llm-zoomcamp-2026/

This website contains the current cohort structure, homework, deadlines, and progress tracking for the course.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Why does the LLM Zoomcamp syllabus not have a separate deadlines section and homework assignments listed there?,"Based on the provided context, I don't know why the LLM Zoomcamp syllabus does not have a separate deadlines section and homework assignments listed there.

However, I can tell you that:

* The course management platform (https://courses.datatalks.club/llm-zoomcamp-2026/) provides an overview of the current cohort structure, homework, deadlines, and progress tracking.
* Homework links are available in the GitHub repo and in the course management platform, specifically for each module (e.g., [Module 1 cohort materials](https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag)).
* The homework instructions can be found on GitHub, often containing important additional context.
* Deadlines are listed in the course management platform, but they do not appear to be explicitly separated from other syllabus information.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"How do I access my course schedule, like when to attend each session in the [LLM Zoomcamp](https://courses.datatalks.club/llm-zoomcamp-2026/)?","To access your course schedule for the LLM Zoomcamp, including when to attend each session, you can log in to the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/). This platform provides information on the current cohort structure, homework deadlines, and progress tracking. 

By using this platform, you will be able to manage your coursework and stay up-to-date with the schedule.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
When will I receive updates on the course updates for LLM Zoomcamp?,"It appears I don't have information about specific update schedules for the course. However you can check for course updates by logging into the courses.datatalks.club/llm-zoomcamp-2026 platform. 

Please let me know if there is anything else I can help you with.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Can I still ask questions during live sessions, or are those reserved for specific modules?",I can provide answers based on the provided context. Go ahead and ask your question!,"There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
What happens if we can't make it to a recorded module session? Are there any alternatives?,"Hi there! Based on the provided context, I'll try to answer your question:

If you can't make it to a recorded module session, is there an alternative? 

According to the course guidelines:
""No, separate live sessions for every module by default."" However, 
""Live sessions are announced separately when they happen"". And if you're stuck, you can always ask your question in Slack within the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Additionally, there's optional extra support available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/) which includes regular Zoom office hours and additional structure.

So, while there isn't a direct answer to this question, you can:

1. Wait for upcoming live sessions.
2. Ask your questions in Slack according to the guidelines.
3. Access extra support through AI Shipping Labs if subscribed.

Let me know if I've correctly understood your question!","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
Are the AI Shipping Labs and Zoom office hours only for paid participants?,"To answer your question, the AI Shipping Labs and Zoom office hours are only available to paid participants who are part of this optional extra support community.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
How does asking questions in Slack fit into the overall course structure?,"I don't know how asking questions in Slack specifically fits into the overall course structure, based on the provided context it seems it's meant to be used when homework questions feel unclear or when general course-related questions arise after a module has been completed, as mentioned in:

""Then the RAG pipeline retrieves relevant chunks and puts only those chunks into the prompt. This is what reduces the amount of context sent to the model.

For example, if your original records are in `documents` and your split records are in `chunks`, fit the search index on `chunks`:

```python
index.fit(chunks)
```

not:

```python
index.fit(documents)
```

Then the RAG pipeline retrieves relevant chunks and puts only those chunks into the prompt. This is what reduces the amount of context sent to the model.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).""

However, without more information about how asking questions in Slack is structured or timed within the course, I am unable to provide a detailed answer.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Can I get one-on-one support outside of the live sessions, or do I have to wait until the next session?","Based on the context provided, I can answer your questions:

However, no specific question has been asked. The question you want an answer to is not contained in the text.

Is there anything else you would like help with?","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
What type of projects are eligible for LLM ZoomCamp and how many credit hours are required to receive approval?,"I don't know about specific project eligibility criteria for LLM ZoomCamp, such as type of projects or required credit hours for approval, from the given context. However, I can tell you where previous LLM Zoomcamp projects are available and how to access them through the course repository. If you need more information on credits requirement specifically please try asking the support team",Yes. Bluesky posts can be used for learning in public credits.,dbf5369006
"Can I use only the study resources available on Zoomcamp, or do I need to also have access to external online lectures and discussions in order to graduate?","Based on the provided context, you do NOT need access to external online lectures and discussions in order to graduate from the LLM Zoomcamp course.

The course provides alternative OpenAI-compatible providers that can be used with a simple configuration change (changing only `base_url` and API key/model name), allowing students to use their preferred provider or serve a model locally without needing an API call.

So, the answer is: ""No"", you do not need access to external online lectures and discussions.",Yes. Bluesky posts can be used for learning in public credits.,dbf5369006
"How many credits will I exactly be earning if I complete LLM Zoomcamp coursework, and does this apply in addition to my university requirements?","I don't know how many credits exactly you will earn from completing the LLM Zoomcamp coursework since the number of credits is not specified in the provided context.

However, it's likely that the credits earned apply ""in addition to"" your university requirements, as indicated by the statement: ""[Bluesky posts] can be used for learning in public credits."" This suggests that you'll also receive separate credits for Bluesky posts completed during the course.",Yes. Bluesky posts can be used for learning in public credits.,dbf5369006
"Will the experience gained via Zoomcamp contribute towards any further professional certifications, and are these applicable elsewhere?","I don't know how the experience gained via Zoomcamp will contribute specifically towards further professional certifications, as this information is not directly mentioned in the context. 

However, I can tell you that the LLM Zoomcamp project submissions on the [2024 and 2025 projects](https://courses.datatalks.club/llm-zoomcamp-2024/projects) and [2025 projects](https://courses.datatalks.club/llm-zoomcamp-2025/projects) may be seen as contributing to the applicant's professional profile or portfolio, which can potentially be useful in securing future certifications or jobs that require similar skills.

It is likely that the experience gained via Zoomcamp will demonstrate an individual's proficiency and capabilities in natural language processing and machine learning, making it easier for them to stand out in a competitive job market.

If you're looking for more detailed information on how to utilize your Zoomcamp experience for certifications, I recommend exploring general career development resources or seeking personalized advice from professionals in your desired field",Yes. Bluesky posts can be used for learning in public credits.,dbf5369006
Can a student receive public credits for utilizing pre-existing knowledge to work projects rather than formal course materials?,"Based on the provided context, I don't know if it's possible for a student to receive public credits solely for utilizing pre-existing knowledge to work on projects without using formal course materials. The provided information focuses more on how students can use workshop materials and publicly available resources like Bluesky posts for gaining experience. However, there is no direct information regarding the criteria or requirements for receiving public credits for self-directed learning using existing knowledge without specific course materials.

If you need clarification or have further details about your situation, please provide additional context.",Yes. Bluesky posts can be used for learning in public credits.,dbf5369006
What's the benefit of using two channels (Telegram & Slack) for discussion?,"The context doesn't directly answer the question, but based on the provided information, I can infer that using two channels (Telegram and Slack) for discussion provides benefits such as:

1. Using Telegram for announcements.
2. Using Slack specifically for technical discussion and questions related to the course.

This setup allows students to receive important updates from instructors/ta's through Telegram while having a dedicated space in Slack for more personalized interactions, like discussing project ideas or asking technical queries.","The Telegram channel is [https://t.me/llm_zoomcamp](https://t.me/llm_zoomcamp).

Use it for announcements. For technical discussion and questions, use the course Slack channel.",054f3fd58f
Can I join the LLM Zoomcamp Telegram channel by just clicking a link?,"To join the LLM Zoomcamp Telegram channel, you would need more information about what type of content or activity will be posted in the channel. The provided context does specify that it's primarily used for announcements, but it doesn't give any specific guidance on how to directly ""click and join"" without knowing the nature of the channel or the specific post that contains the link.

However, given the URL is: https://t.me/llm_zoomcamp, you can likely click this link and potentially be added to the channel if there's a request form for new members.","The Telegram channel is [https://t.me/llm_zoomcamp](https://t.me/llm_zoomcamp).

Use it for announcements. For technical discussion and questions, use the course Slack channel.",054f3fd58f
How often should I expect to receive announcements and important updates on the Telegram channel?,"It seems that updates and announcements will be shared in the Telegram channel, specifically with an [https://t.me/dezoomcamp](https://t.me/dezoomcamp) link mentioned in other context.  I don't have more information about when you can expect to receive such announcements.","The Telegram channel is [https://t.me/llm_zoomcamp](https://t.me/llm_zoomcamp).

Use it for announcements. For technical discussion and questions, use the course Slack channel.",054f3fd58f
Are there any specific protocols or guidelines I need to follow for using the Telegram channel?,"Based on the provided context, I don't have information on specific protocols or guidelines for using the Telegram channel beyond what's mentioned as a usage recommendation: ""Use it for announcements."" No additional details are given about how to use the channel. If you need more information, I'd advise cross-checking with other official resources mentioned in the context.","The Telegram channel is [https://t.me/llm_zoomcamp](https://t.me/llm_zoomcamp).

Use it for announcements. For technical discussion and questions, use the course Slack channel.",054f3fd58f
What technical issues are commonly discussed in the course Slack channel?,"Based on the provided context, I was unable to find information about technical issues commonly discussed in the course Slack channel.

However, it is mentioned that students participate via YouTube Live and submit questions to Slido during live/workshop sessions. 

I don't know if there are specific technical issues commonly discussed in the course Slack channel.","The Telegram channel is [https://t.me/llm_zoomcamp](https://t.me/llm_zoomcamp).

Use it for announcements. For technical discussion and questions, use the course Slack channel.",054f3fd58f
"I'm trying to get my RAG results to match the examples in the video example notebook, what's the deal with getting inconsistent answers?","You're getting inconsistent answers when comparing your RAG results to the video example notebook. This is likely due to two factors:

1. **Dataset version difference**: The course loads documents from the live FAQ dataset, which changes over time as questions are added, updated, or deleted. If your notebook downloads the latest data, its document count and RAG index can differ from the snapshot used when the videos were recorded.
2. **Different retrieval context**: Different retrieved context can then produce a different final answer because of the changing dataset.

To reproduce a video exactly, use the same dataset snapshot or Git commit; otherwise, expect results from the current dataset to differ.

Example code for using Google Gemini models in Module 1 notebook through OpenAI-compatible endpoint is provided. If you're having issues with importing packages, try running `sys.executable` to check your kernel's interpreter and then switch to a repository-specific `.venv`.","The course loads documents from the live FAQ dataset, which changes over time as
questions are added, updated, or deleted. If your notebook downloads the latest
data, its document count and RAG index can differ from the snapshot used when the
videos were recorded. Different retrieved context can then produce a different
final answer.

This does not necessarily mean your implementation is wrong. To reproduce a
video exactly, use the same dataset snapshot or Git commit; otherwise, expect
results from the current dataset to differ.",e2d595f23c
Can you clarify why the document count is off between the FAQ download and the video recording? Is it a problem that I should know about?,"I can help clarify the issue with document count.

According to the provided context, the reason for the document count discrepancy is due to how the course loads documents from the live FAQ dataset. It changes over time as questions are added, updated, or deleted, which may result in a different document count when viewing the FAQ download versus watching video recordings. Since videos were recorded using a snapshot of the data at some point, their ""document count"" can be considered an outdated number.

Therefore, it's not necessarily a problem that you should know about. However, to ensure consistent results, it is recommended to use the same dataset snapshot or Git commit when reproducing video exactly. Otherwise, expect results from the current dataset to differ due to changes over time.","The course loads documents from the live FAQ dataset, which changes over time as
questions are added, updated, or deleted. If your notebook downloads the latest
data, its document count and RAG index can differ from the snapshot used when the
videos were recorded. Different retrieved context can then produce a different
final answer.

This does not necessarily mean your implementation is wrong. To reproduce a
video exactly, use the same dataset snapshot or Git commit; otherwise, expect
results from the current dataset to differ.",e2d595f23c
Do I need to update my dataset every time the videos are recorded for my results to match?,"Thank you for providing the context.

To answer your question: ""Do I need to update my dataset every time the videos are recorded for my results to match?""

The answer is: No, you do not necessarily need to update your dataset every time the videos are recorded if your notebook downloads the latest data and its document count and RAG index differ from the snapshot used when the videos were recorded.

According to the context:

""If your notebook downloads the latest data, its document count and RAG index can differ from the snapshot used when the videos were recorded. Different retrieved context can then produce a different final answer.""

However, for full reproducibility points, you are advised to use the same dataset snapshot or Git commit as the one used when the videos were recorded.

Alternatively, you could re-run your results with the current dataset and ensure that your implementation is correct before submitting your results.","The course loads documents from the live FAQ dataset, which changes over time as
questions are added, updated, or deleted. If your notebook downloads the latest
data, its document count and RAG index can differ from the snapshot used when the
videos were recorded. Different retrieved context can then produce a different
final answer.

This does not necessarily mean your implementation is wrong. To reproduce a
video exactly, use the same dataset snapshot or Git commit; otherwise, expect
results from the current dataset to differ.",e2d595f23c
So I submitted my homework late because the submission window was still open at that point - will it still be accepted?,"Yes, based on the provided context, even though you submitted late because the submission window was still open at that point, it should still be accepted as long as the form is still open and you submit before the form closes.

This information can be found in:

General Course-Related Questions
Q: The homework submission form is still open even though the deadline has passed — can I still submit?
A: Yes. As long as the submission form is still open, you can submit your answers, even if the listed deadline has already passed...","Yes. As long as the submission form is still open, you can submit your answers, even if the listed deadline has already passed. You can no longer submit only after the form has been closed — so while it's still open, go ahead and submit.",a9353fadfe
Can you clarify what happens when the submission form is no longer open? Is there a penalty for submitting after that?,"When the submission form for the homework is no longer open, you can still submit your work as long as the form is not yet closed.

However, I don't have information on penalties for submitting after that. Can you provide more context or clarify what kind of penalty you're referring to? Is it related to late submissions or something else?","Yes. As long as the submission form is still open, you can submit your answers, even if the listed deadline has already passed. You can no longer submit only after the form has been closed — so while it's still open, go ahead and submit.",a9353fadfe
"If I've already submitted my homework and realize one part is incorrect, can I add more information to the submission or do I have to redo the whole thing?","Based on the provided context, if you've already submitted your homework and realize one part is incorrect, I don't know. 

The relevant information regarding submitting corrected work or redoing assignments is not available in the given context. The context does mention that ""Once the project submission deadline has passed, projects will be assigned to you for evaluation,"" but it also states ""You only need to submit one project."" without addressing how to proceed if an error is found after the initial submission.","Yes. As long as the submission form is still open, you can submit your answers, even if the listed deadline has already passed. You can no longer submit only after the form has been closed — so while it's still open, go ahead and submit.",a9353fadfe
I want to check in on my assignment status - how will the instructor be grading it if the deadline has passed?,"If the deadline has passed, I don't know how the instructor will grade it as it's not specified in the context.

However, I can tell you that according to the context, here are a few things we do know:

- The final grade received will be the median score of the grades from the peer reviewers.
- Peer review criteria must follow the guidelines defined elsewhere.","Yes. As long as the submission form is still open, you can submit your answers, even if the listed deadline has already passed. You can no longer submit only after the form has been closed — so while it's still open, go ahead and submit.",a9353fadfe
What is considered 'within a day' of not meeting the original deadline? Will there be an extension given for slightly late submissions?,"Based on the provided context, I don't have information about extensions being given for slightly late submissions. The statement ""No. We don't give individual deadline extensions"" indicates that there are no extensions granted for submissions made after the original deadline.

However, there is an exception in the case of peer review submissions: if you are one of the three students assigned to grade or review a project and it is submitted shortly before its original due time, it can be accepted.

If you're asking whether it will be 'within 1 day' late for slightly less late submissions I do not see any answer .","Yes. As long as the submission form is still open, you can submit your answers, even if the listed deadline has already passed. You can no longer submit only after the form has been closed — so while it's still open, go ahead and submit.",a9353fadfe
Can I get a deadline extension if I miss the date to submit my homework?,"You can still submit your homework after the deadline to receive the token counts, but you cannot get a certificate extension if you've missed the original submission deadline.

According to the course's policy:

""I don't know"" if you can get a deadline extension due to missing the original submission deadline. However, there is an exception for late submissions: as long as the homework submission form is still open, you can submit your answers even if the listed deadline has already passed.","No. We don't give individual deadline extensions, and once the homework submission form is closed you can no longer submit it — there are no late submissions. While the form is still open you can submit, even if the listed deadline has already passed.

Missing a homework won't affect your certificate: homework isn't mandatory, only passing the Capstone project is. Homework points only count toward your leaderboard rank, so you'll still appear on the leaderboard with your other submissions.",cdc3b285e5
If I submit my coursework after the stated deadline does nothing bad happen?,"If you submit your coursework after the stated deadline, ""I don't know."" according to the context provided, we do not give individual deadline extensions for homework submissions, and once the submission form is closed, no late submissions are allowed. However, there's a note on submission windows (as in ""attempt#2"") that seems related to additional attempts or revisions rather than late submissions. There's also a mention of re-submitting an improved project if the first attempt fails but this doesn't seem directly applicable to coursework deadlines and is more about project revisions.","No. We don't give individual deadline extensions, and once the homework submission form is closed you can no longer submit it — there are no late submissions. While the form is still open you can submit, even if the listed deadline has already passed.

Missing a homework won't affect your certificate: homework isn't mandatory, only passing the Capstone project is. Homework points only count toward your leaderboard rank, so you'll still appear on the leaderboard with your other submissions.",cdc3b285e5
Do late submissions for homework affect my certificate at all?,"To answer your question:

Late submissions for homework do not affect your certificate at all. According to the provided context, ""Missing a homework won't affect your certificate"" since homework is not mandatory and only counts towards your leaderboard rank.","No. We don't give individual deadline extensions, and once the homework submission form is closed you can no longer submit it — there are no late submissions. While the form is still open you can submit, even if the listed deadline has already passed.

Missing a homework won't affect your certificate: homework isn't mandatory, only passing the Capstone project is. Homework points only count toward your leaderboard rank, so you'll still appear on the leaderboard with your other submissions.",cdc3b285e5
How long can i still submit my homework once the deadline has already passed?,"You can submit your homework as long as the submission form is still open, even if the listed deadline has already passed.

However, I don't know whether all submissions are automatically approved once submitted during this timeframe or if they will be reviewed upon opening of the review window period which could potentially take upto a week.","No. We don't give individual deadline extensions, and once the homework submission form is closed you can no longer submit it — there are no late submissions. While the form is still open you can submit, even if the listed deadline has already passed.

Missing a homework won't affect your certificate: homework isn't mandatory, only passing the Capstone project is. Homework points only count toward your leaderboard rank, so you'll still appear on the leaderboard with your other submissions.",cdc3b285e5
Does having missing homework entries on the leaderboard count against my rank?,"According to the context, missing homework entries on the leaderboard will not directly affect your rank. The points awarded for homework only count towards your ranking, and since homework is not mandatory, it's not considered when determining your certificate status (only passing the Capstone project matters).

However, if you're checking your actual rank on the leaderboard, the missing homework entry might still show up as part of your overall list with other submissions, but this wouldn't count against you in terms of ranking.

So, effectively, having a missing homework entry won't directly ""count against"" your rank in the sense that it lowers your numerical position, since the points from the remaining homework are what contribute to your total score.","No. We don't give individual deadline extensions, and once the homework submission form is closed you can no longer submit it — there are no late submissions. While the form is still open you can submit, even if the listed deadline has already passed.

Missing a homework won't affect your certificate: homework isn't mandatory, only passing the Capstone project is. Homework points only count toward your leaderboard rank, so you'll still appear on the leaderboard with your other submissions.",cdc3b285e5
What does my 'official name' in the Edits Course Profile mean? Is that how I should enter my actual full name?,"Your 'official name' in the Edits Course Profile refers to the first field: your public nickname. This is the displayed name that will appear on your certificate, but it's not published online or shared with third parties.

To enter your actual full name for your official name (the second field), you should use your real name as seen in your identification documents, such as a passport, national ID card, driver's license, etc.","No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
Why was my nickname called 'Lucid Elbakyan'? Can I use my own nickname or must I change it if its generated like that?,"The reason your nickname was generated as ""Lucid Elbakyan"" is because when you set up your account, you were automatically assigned a random name.

You can use your own nickname or change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. The first field in the ""Edit Course Profile"" section is for your public nickname for the leaderboard (like ""Lucid Elbakyan""), and the second field is for your official name printed on your certificate.

So, if you want to use a different nickname, you can update it by going to ""Edit Course Profile"", changing the first field to your desired nickname. However, it's worth noting that as a security measure, the public leaderboard uses a separate display name (your original random-assigned nickname like ""Lucid Elbakyan"") and anonymous by default.","No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
Can I make sure no one sees my real name on my certificate as well?,"To ensure that your real name is not visible on your certificate, follow these steps:

1. Go to ""Edit Course Profile"" in your account settings.
2. In the second field, enter your official name as it appears on your identification documents (e.g., passport, national ID card, driver's license, etc.).

Additionally, you can set a nickname or display name that is different from your real name in the first field for the public leaderboard, if desired.","No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
"Is my public nickname the same for online courses too, or is it just this course?","I don't know if your public nickname is specific to this course or can be used for online courses. According to the context, a ""display name"" (or ""public nickname"") can be set for a course profile, but there is no indication that it's specific to just one course.","No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
What's considered anonymous in the context of the leaderboard,"Based on the provided context, here are the answers to your question:

""What's considered anonymous in the context of the leaderboard?""

The public nickname displayed on the leaderboard (e.g., ""Lucid Elbakyan"") is considered anonymous by default. This allows users to remain pseudonymous.","No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
