question,document,course
"What exactly does the 'Module 1 cohort materials' link on GitHub access, and how can I find the 2026 Module homework assignment from it?
",53f15299b6,llm-zoomcamp
"How do I know where to submit my 2026 Module 1 homework?
",53f15299b6,llm-zoomcamp
"Can you clarify what the course platform offers besides submission and deadlines, and does this directly impact me with Module 1 homework?
",53f15299b6,llm-zoomcamp
How long-should we allocate for doing Module 1 homework assignment since its deadline seems quite early as of now?,53f15299b6,llm-zoomcamp
When should I add index settings before adding data to pandas DataFrame?,83da208a64,llm-zoomcamp
What happens when indexing is incorrect in pandas and how can it be fixed for query filtering?,83da208a64,llm-zoomcamp
Can you provide an example of how to debug returning empty list after applying a query on filtered data?,83da208a64,llm-zoomcamp
How do I know if error with indexing is causing me homework errors in python?,83da208a64,llm-zoomcamp
Is adding index settings mandatory before applying filter and query together?,83da208a64,llm-zoomcamp
I got an error code 402 when calling `responses.create()` in OpenRouter. What does this mean?,cfb07a27d5,llm-zoomcamp
How do I increase the max_output_tokens limit for my responses.create() call in Module 1 homework?,cfb07a27d5,llm-zoomcamp
Why is it different from OpenAI's typical 429 handling for insufficient quota? Is there a way to add this parameter to the llm() method with rag_helper.py?,cfb07a27d5,llm-zoomcamp
Can you confirm that the .env file should point at OpenRouter?,cfb07a27d5,llm-zoomcamp
"I raised the max_output_tokens limit, but my requests still fail. What else should I check?",cfb07a27d5,llm-zoomcamp
Can you explain in more detail why using chunked documents for building the index improves performance? Is it related to memory usage or query efficiency?,b4300adeb1,llm-zoomcamp
How do I know if I should point RAG at the original doc records or the chunked ones if I need to search for a specific keyword that may appear across multiple chunks?,b4300adeb1,llm-zoomcamp
"Would building and fitting the index on the chunked documents alone be sufficient, or are there other steps I should take before applying the RAG pipeline?",b4300adeb1,llm-zoomcamp
Are there any trade-offs between using chunked vs full documents when it comes to query frequency or result accuracy in the RAG pipeline?,b4300adeb1,llm-zoomcamp
"Can't I just fit the index on all original doc records at once and then use a mapping function to route my queries from chunks to the matched documents? If so, how would that work?",b4300adeb1,llm-zoomcamp
Can I use approximations with fractions when doing my homework?,5e4ca64cb5,llm-zoomcamp
How much difference is okay between what's calculated and the options provided?,5e4ca64cb5,llm-zoomcamp
"If all answers are far from each other, do I need to recalculate the dataset or model?",5e4ca64cb5,llm-zoomcamp
What if I'm getting a different answer on another platform? Is it still an error?,5e4ca64cb5,llm-zoomcamp
Are the options in the homework usually correct or based on real data outcomes?,5e4ca64cb5,llm-zoomcamp
Can you provide more info about the homework instructions? I'm having trouble finding them on both the course platform and Git. What's different between the two?,7d3a2e3505,llm-zoomcamp
"I've read through the homeschooling materials, but I'm not getting it. Is there a specific dataset that we're using this time around?",7d3a2e3505,llm-zoomcamp
"If I send in my work and it still isn't clear to me, what do I put in my post on the Slack channel besides my code?",7d3a2e3505,llm-zoomcamp
Can you give an example of how homework usually differs from lessons in terms of question type or dataset?,7d3a2e3505,llm-zoomcamp
How long are homework submissions due? Is there a specific schedule that we should be following?,7d3a2e3505,llm-zoomcamp
"When using a non-OpenAI compatible API (e.g. Hugging Face), how do I determine my prompt's input tokens in my code?",fe8fed31e6,llm-zoomcamp
What if my provider doesn't expose usage information - what can I use instead for tokenization?,fe8fed31e6,llm-zoomcamp
How do I choose the most accurate answer for a multiple-choice question when using a non-OpenAI compatible API?,fe8fed31e6,llm-zoomcamp
"Are there any specific tokenizations (e.g. tiktoken, cl100k_base) I should avoid using with other providers?",fe8fed31e6,llm-zoomcamp
Can you provide an example of how to get usage information from a response object if it's different from the OpenAI-style?,fe8fed31e6,llm-zoomcamp
"I'm trying to complete my homework submission but I accidentally made my repository private - is that okay? and if so, how do I fix this?",bcdb8740ce,llm-zoomcamp
"If I'm using a trailing .git extension in my repository URL, will submitting the plain URL work or do I need to remove it?",bcdb8740ce,llm-zoomcamp
What happens when there's a typo in the repo URL - does it mean I have to recreate the link from scratch?,bcdb8740ce,llm-zoomcamp
Can I use HTTPS for my repository URL even if it returns a non-200 status?,bcdb8740ce,llm-zoomcamp
"Hi, can you explain what's the point of converting data into embeddings? How does it help with vector search I'm taking? - John",69430a79a8,llm-zoomcamp
Can you clarify if embedding algorithms just compress non-numerical data or actually find relationships between words like vectors do in machine learning? Thanks! - Rachel,69430a79a8,llm-zoomcamp
"In an LLM-zoomcamp course on vector search, why are embeddings important and how will they be used - ammar",69430a79a8,llm-zoomcamp
How does the 'proximity of these numerical values' relate to semantic similarity algorithms during vector search processes?,69430a79a8,llm-zoomcamp
"What exactly is meant by ""dimensionality reduction"" in the context of embedding?",69430a79a8,llm-zoomcamp
Are there any practical examples of embedding techniques in real-world applications?,69430a79a8,llm-zoomcamp
Can you please give more details on how an appropriate method for an embedding algorithm would be used effectively - Sam,69430a79a8,llm-zoomcamp
"The correct way to suppress the 'model made on sentence transformers v3.0.0 bet' warning is: 
Is it possible to do a one-line upgrade? Instead of running pip install sentence-transformers>=3.0.0 will that work?",aa3f597424,llm-zoomcamp
I want to suppress the warning without upgrading `sentence-transformers` completely. Can I use a temporary version?,aa3f597424,llm-zoomcamp
Will updating only `sentence-transformers` dependencies suffice or should we update the whole environment?,aa3f597424,llm-zoomcamp
"How can I avoid having to upgrade all packages if some in my environment aren't affected by this issue, but are required for our LLM model?",aa3f597424,llm-zoomcamp
"What happens if I have multiple versions of `sentence-transformers`, will `pip install` choose the correct version when I install `>=3.0.0`?",aa3f597424,llm-zoomcamp
Are there any alternatives to using a `>=` version number in pip installation that could also suppress this warning?,aa3f597424,llm-zoomcamp
I'm worried about potential security implications of keeping older packages in my environment; what are some recommended best practices for managing multiple versions and dependencies?,aa3f597424,llm-zoomcamp
How does the warning's severity impact model performance - does it have noticeable effects on speed or accuracy?,aa3f597424,llm-zoomcamp
"I'm a bit unclear on this - if model.encode(...) gives normalized vectors, then why did you use the .dot() method directly to compute cosine similarity in the lesson when it wasn't explicitly stated that the vectors were already normalized?",92cd22cada,llm-zoomcamp
"What was the assumption made in the lesson about the embeddings being used for .dot(), and how does it differ from the homework material where classic embeddings are used instead?",92cd22cada,llm-zoomcamp
"If we're given model.encode(...) and those models return normalized embeddings, then can you help clarify how cos similarity would be computed on these instances where unit length is assumed.",92cd22cada,llm-zoomcamp
"Are the vectors in this lesson example assuming to be pre-normalize, or should it have been mentioned in full to indicate that this assumption might hold?",92cd22cada,llm-zoomcamp
Just to rephrase my main confusion - does model.encode(...) only normalize the vector by default? Or can we take additional measure if required? ,92cd22cada,llm-zoomcamp
what's the general approach for vector search in this course? what are my options?,5c4a8d2e60,llm-zoomcamp
should I always embed both question and answer or just one or the other? can you give an example of when to do each?,5c4a8d2e60,llm-zoomcamp
how does the course calculate hit rate / MRR to determine which embedding is best?,5c4a8d2e60,llm-zoomcamp
can I use the comparison table provided in the course materials to determine embedding performance?,5c4a8d2e60,llm-zoomcamp
"are there any general pros & cons to embedding just question, just answer, or both in vector search?",5c4a8d2e60,llm-zoomcamp
"Can you explain how cosine similarity measures are used in TextAnalysis for determining document similarity?

Answer from ⥦: Cosine similarity is a technique often employed in Natural Language Processing (NLP) tasks like text similarity and authorship analysis. It assesses how similar two documents are based on their content.
",db78580409,llm-zoomcamp
"What's the significance of using cosine similarity over other similarity measures in vector search?

Answer from AI Mentor: Other metrics may not be as robust as cosine similarity in low-dimensional spaces, which is common with N-Grams or TF-IDF vectors used for document representation. Cosine similarity helps mitigate these issues with a robust and well-behaved cosine-based distance metric known as Cossine Distance.
",db78580409,llm-zoomcamp
"How does one find the maximum cosine similarity between a query vector 'q' and an index vector 'x'? Explain your working steps in detail, please?

Answer from Prof. Lina: You can use linear algebra - Dot product of v_q = q ∗ x to get the cosine similarity value; compute |v_q| by taking norm q. The formula becomes: Similarity = dot_product / ( magnitude_q * magnitude_x )",db78580409,llm-zoomcamp
"How do the TF-IDF values or word counts transform into vectors that can work with cosine similarity?

Answer from AI Mentor: TF-IDF is applied as a transformation step - transforming raw word frequencies and document weights. Word counts vectorized (from n-grams), each element of which holds vector representation where index is corresponding word, value represents frequency.
",db78580409,llm-zoomcamp
"What are some examples of use cases in TextAnalysis that require cosine similarity computations?

Answer from ⥦: The cosine similarity value helps you identify close relatives for a particular text passage like authorship claims or finding matching pairs during plagiarism detection across the web.",db78580409,llm-zoomcamp
Can you explain why we normalize vectors before applying the cosine similarity measure?,95feb4e75b,llm-zoomcamp
What's the math behind this `dot product` that cosine similarity reduces to? Does it involve matrix multiplication in a specific order?,95feb4e75b,llm-zoomcamp
"If I want to use cosine similarity to search for similar documents, do I need to train my model on query vectors as well as document embeddings?",95feb4e75b,llm-zoomcamp
How does scaling down the dimensionality of vector spaces affect the performance of cosine similarity-based search algorithms like this one?,95feb4e75b,llm-zoomcamp
Is vector normalization always necessary for the dot product/ matrix multiplication approach in cosine similarity? Or are there alternative approaches that can skip normalizing the vectors?,95feb4e75b,llm-zoomcamp
I need to setup a new codespace at the start of each module. Do I have to create all my own dependencies from scratch every time?,1e829a8c6f,llm-zoomcamp
Is it better for me to use an existing dependency and just make some modifications or would that not be allowed?,1e829a8c6f,llm-zoomcamp
If I delete the codespace will I lose access to my repo? How can I keep my other coursework there?,1e829a8c6f,llm-zoomcamp
Can I work on a local version of the codespace if I forget to commit when I was online?,1e829a8c6f,llm-zoomcamp
How do I save my changes and keep my work in sync across different modules?,1e829a8c6f,llm-zoomcamp
I get an error when trying to use the download.py script from HuggingFace - what does that mean and how to fix?,29b69fbe0b,llm-zoomcamp
"What happens when downloading from the CDN, is it faster to just use my browser instead?",29b69fbe0b,llm-zoomcamp
Is there a way to check if the model.onnx file already exists in my models folder before re-downloading?,29b69fbe0b,llm-zoomcamp
I'm having trouble getting download.py to work correctly; what's the best practice for handling model downloads during training?,29b69fbe0b,llm-zoomcamp
Can you provide more details on why download.py might hang at 0% when downloading model.onnx?,29b69fbe0b,llm-zoomcamp
This is just a normal discrepancy in floating-point arithmetic? It means that the matrix and for-loop versions are actually numerically equivalent but will show slight differences in result due to precision issues?,e889793af9,llm-zoomcamp
Can you provide any further insights into why one way of adding up the dot products can be more precise than another?,e889793af9,llm-zoomcamp
But what does 'floating point addition isn't perfectly associative' mean? Can you give an example where this occurs in a real-world scenario for matrix operations?,e889793af9,llm-zoomcamp
"How small of a tolerance should I set when comparing results using np.allclose() function, e.g., `np.allclose(scores, scores_loop, atol=?)`?",e889793af9,llm-zoomcamp
Is it possible to prove mathematically that the results from `X.dot(v_query)` and `scores_loop` are equivalent or only approximately equal?,e889793af9,llm-zoomcamp
Do performance differences between these matrix and for-loop versions arise mainly due to numerical instability?,e889793af9,llm-zoomcamp
"I'm able to get the document chunk chunks from my data, but how do I create embeddings only for a selected index which is supposed to represent the best content? (Module 2: Vector Search)",1a7b27c4df,llm-zoomcamp
"When working with a custom embedding library in LLaMA-ZoomCamp, am I correct that if chunk list length doesn't match with embedder row dimensionality error might occur? ",1a7b27c4df,llm-zoomcamp
What's difference between creating embedding from an entire document or just selected portion of it when dealing with modules such as Vector search?,1a7b27c4df,llm-zoomcamp
I used chunking here but now I'm wondering how does the code `X = embedder.encode_batch(contents)` work to produce output. How can we generate separate embeddings only one specific index in a batch rather creating whole batch (Mod 2: Vector Search),1a7b27c4df,llm-zoomcamp
"My embeddder encodes each sub-chunk individually - what is batch encoding mean & when to use, and how do I apply the above correction?",1a7b27c4df,llm-zoomcamp
"Hi I'm having some trouble with FastEmbed in my Zoomcamp course. When I download the model and then try to use it, I get an SSL error even though I've cached it. What's going on here?",6609b934b6,llm-zoomcamp
Can I use the same cache directory for other models like SparseTextEmbedding or TextCrossEncoder?,6609b934b6,llm-zoomcamp
I mounted the `/models/fastembed` directory into my container but I still can't access the model from within the container. Is there a specific way to do this that I'm missing?,6609b934b6,llm-zoomcamp
"If I download and prepare my own FastEmbed directory, is the `specific_model_path` parameter necessary for everything to work properly?",6609b934b6,llm-zoomcamp
How can I avoid the SSL error if I know the Hugging Face cache isn't complete? Are there any other ways to get around this issue?,6609b934b6,llm-zoomcamp
"For the homework Q2, I used `sentence-transformers` to generate my embedding vectors. Is that correct?",eaa17a9dc6,llm-zoomcamp
"On the Homework 2 page, it says not use `sentence-transformers`, but what about if I'm trying out a different model like `multi-qa-mpnet-base-dot-v1`? Can I still do that?",eaa17a9dc6,llm-zoomcamp
"How can I fix it when my cosine similarity value isn't among the provided options? Are there any other factors at play here besides model choice, embedding field, query vector, and normalization?",eaa17a9dc6,llm-zoomcamp
Can you provide an example of what `content` field is supposed to be in the code for Homework Q2? Should I use a dictionary or something else?,eaa17a9dc6,llm-zoomcamp
"The manual says that if my value is still slightly off after using the right model, I should pick the closest option. Does this mean I shouldn't worry about precision too much and just choose the first available option?",eaa17a9dc6,llm-zoomcamp
I'm having trouble with my environment variables for Kestra. Can you provide an example of how I should export my Gemini and OpenAI API keys in terminal format?,3860e5fe8b,llm-zoomcamp
"How do I create base64 encoded environmental variables like SECRET_GEMINI_API_KEY? The documentation mentions echoing a value and then using base64, but it's unclear what that looks like in practice.",3860e5fe8b,llm-zoomcamp
Can someone explain why an 'export SECRET_...' line is used before starting Kestra? And is that where the base64 encoding part comes from?,3860e5fe8b,llm-zoomcamp
What will be happening with the exported `SECRET_GEMINI_API_KEY` and `SECRET_OPENAI_API_KEY` values after I start Kestra via Docker Compose?,3860e5fe8b,llm-zoomcamp
"Are there any specific best practices for handling my API keys securely, like how to avoid committing them to Git or saving sensitive info around?",3860e5fe8b,llm-zoomcamp
"I was trying to deploy my Kestra flow using AI Copilot, but it keeps saying ""I can only assist with creating Kestra flows"". I've checked my environment variables and everything looks fine, but the Copilot still refuses to work. Is there perhaps something wrong with how I'm exporting the API key?",04440cab11,llm-zoomcamp
"The Kestra documentation mentions the `SECRET_GEMINI_API_KEY` variable in the example Docker Compose file, but your answer says to use `plain GEMINI_API_KEY`. Which one is correct and why?",04440cab11,llm-zoomcamp
"I've generated a new Gemini API key using Google AI Studio, but when I restart my Docker container with `export GEMINI_API_KEY=""my-api-key""` followed by `docker compose up -d`, the Copilot still doesn't work. What could be causing this issue?",04440cab11,llm-zoomcamp
"What happens if I've used up my free tier quota on the Gemini API using my agent/flow? Will the Copilot stop working altogether, or is there a way to renew my quota without restarting the entire container?",04440cab11,llm-zoomcamp
Can someone please explain why the Kestra AI Copilot needs a `plain GEMINI_API_KEY` while it seems like I need an encoded `SECRET_GEMINI_TOKEN` in my flows? Is this different because of how Docker handles environment variables?,04440cab11,llm-zoomcamp
I set my SECRET_GEMINI_API_KEY but my Kestra flow still fails with an invalid/missing key. Can you tell me what's going on from the inside? Is the problem something I can actually see in the Docker logs?,c8ca21af33,llm-zoomcamp
How do I know if my base64 value is good and there's a trailing space or newline that's causing the problem? Are there any tools to test it with?,c8ca21af33,llm-zoomcamp
Why does Kestra need me to restart after exporting the variable? Is this due to some sort of containerization thing?,c8ca21af33,llm-zoomcamp
Can you provide an example of writing keys in a .env file and passing them explicitly using Docker Compose? How do I modify my docker-compose.yml file for that?,c8ca21af33,llm-zoomcamp
"Hi, I'm having some trouble with Kestra. Isn't it just a tool for running code in a workflow, or is there more to it? Can't I just run code in Jupyter notebooks like I do now?",193612db63,llm-zoomcamp
"So you're saying that Kestra provides the tools for production-style workflows, which means I have to learn about all these concepts like retries and secret management. How does Kestra help with these things?",193612db63,llm-zoomcamp
Is it really necessary to use some kind of orchestrator like Kestra? Can't I just rely on OpenAI or another provider alone?,193612db63,llm-zoomcamp
How can I integrate different providers like OpenAI and Gemini into one workflow if Kestra's plugins support them all?,193612db63,llm-zoomcamp
"I'm having trouble understanding how Kestra relates to the other AI techniques we're learning about, like Copilot and RAG. Can you provide more examples or help me see how these relate to each other?",193612db63,llm-zoomcamp
I'm new to orchestrators. How does Kestra compare to Airflow and what are its benefits for AI techniques?,cce328db64,llm-zoomcamp
"Can I get a plain Python script to work for the full points on the ingestion-pipeline criterion for my capstone project, without running a Jupyter notebook?",cce328db64,llm-zoomcamp
How do I know which orchestrator is best for my LLM Zoomcamp capstone project if it's not mandatory?,cce328db64,llm-zoomcamp
"Are Kestra's AI plugins compatible with open-source projects, or are they only available for commercial use?",cce328db64,llm-zoomcamp
"If I already have experience with another tool like Airflow, can I disregard learning Kestra and just use something else in Module 3?",cce328db64,llm-zoomcamp
I see that Kestra supports a lot of AI providers. Can I use the different plugins to specialize in a specific vendor like Gemini or do I have to switch between them?,f442efe5b4,llm-zoomcamp
How does the generic AI plugin handle the unique features of each provider and when can those features be expected to be available?,f442efe5b4,llm-zoomcamp
"If I want to use Groq, is there a dedicated plugin for it or should I point the OpenAI plugin at the Groq base URL?",f442efe5b4,llm-zoomcamp
"Does the free tier requirement for Gemini affect how I can integrate Kestra with other AI providers like Groq, which has its own generous tier?",f442efe5b4,llm-zoomcamp
I'm not sure about the difference between custom models and local models. Can you provide some examples of when it might be more beneficial to use one over the other?,f442efe5b4,llm-zoomcamp
"So I'm still pretty new to workflow automation, can you explain the difference between Kestra's YAML flow editor and what the no-code form editor does?",bfe5502c30,llm-zoomcamp
I came across 'External agent skills' - how exactly do these work with Kestra and which ones are available for me to use?,bfe5502c30,llm-zoomcamp
"You mention AI Copilot as a way to generate flows without writing code, but I'm not sure if it's suitable for more complex workflows. Can you elaborate on that?",bfe5502c30,llm-zoomcamp
How does the no-code form editor in Kestra compare to tools like Zapier or n8n when it comes to automating simple point-to-point workflows?,bfe5502c30,llm-zoomcamp
I'd liked to use Kestra's external agent skills with Claude Code. Can you tell me more about how those work and what kind of technical integrations are possible?,bfe5502c30,llm-zoomcamp
I'm trying to create a Kestra flow with an AI assistant and it's showing me some properties that don't exist in the plugin schemas for my current version of Kestra. How do I know which ones are correct? ,93a3e8b98c,llm-zoomcamp
Can you give more examples of plugin properties that might be different between GCS upload and BigQuery LoadFromGcs in different versions of Kestra how can I track those changes?,93a3e8b98c,llm-zoomcamp
"I have a YAML snippet for my flow created with an AI assistant but when I try to run it, Kestra throws errors saying some properties don't exist. How do I debug this?",93a3e8b98c,llm-zoomcamp
Are the properties that are invented by the generative model as opposed to what's actually needed in the current plugin schemas considered defects in any way or is it okay to use them for new flows?,93a3e8b98c,llm-zoomcamp
"If I generate a YAML snippet using an AI assistant and then check it manually against the Kestra plugins docs, should I also rely on one of the other methods mentioned in this FAQ (i.e. using AI Copilot, validating & testing etc.) as well?",93a3e8b98c,llm-zoomcamp
"Can you give some specific examples of how token usage monitoring helps with prompt optimization? For instance, how does it guide me to create more efficient prompts?",a4adc70f41,llm-zoomcamp
"If I'm using a token budget for my entire workflow and there's a cost spike due to unused tokens from other tasks, will Kestra alert me about it?",a4adc70f41,llm-zoomcamp
"Do I need to manually log or track each 'usage.total_tokens' that we capture in our workflows, or are there built-in features within Kestra that help with monitoring this? ",a4adc70f41,llm-zoomcamp
Can you demonstrate how setting these thresholds and alerts through usage monitoring would impact the day-to-day running of my workflow?,a4adc70f41,llm-zoomcamp
Are there any best practices for handling a situation where one task within the flow is consuming an unexpectedly large number of tokens causing potential issues?,a4adc70f41,llm-zoomcamp
"I'm having trouble running Docker Desktop on my Mac, I get 'mounts denied: The path /tmp/... is not shared from the host'. How do I fix this? Can you walk me through that?",dd8b4c9fda,llm-zoomcamp
What happens when Docker Desktop can't access a host path like /tmp/kestra-wd during container mounting? Is there an alternative?,dd8b4c9fda,llm-zoomcamp
Is it possible to use another port than 'localhost:8000' in docker-compose.yml file?,dd8b4c9fda,llm-zoomcamp
Are environment requirements mentioned next to tasks or as separate resources?,dd8b4c9fda,llm-zoomcamp
"In which directory is Kestra normally mounted when running Docker Compose, and where can I share this path in the host settings of Docker Desktop?",dd8b4c9fda,llm-zoomcamp
"I've got an issue with my Kestra flow, and it keeps telling me that the gemini-3.5-flash model is unavailable. What's a good approach to resolving this problem?",d51bbe2da0,llm-zoomcamp
"If I'm trying to rerun a flow but get another 404 error about the gemini model being unavailable, will the model still be active somewhere in the system?",d51bbe2da0,llm-zoomcamp
"Can you walk me through how to update the model id in the YAML file and Docker Compose settings with more details on what it entails?,",d51bbe2da0,llm-zoomcamp
I noticed the information about checking for available models does not explicitly state whether this should go through a kestra support agent or a self-service mechanism. Can anyone guide me to this info?,d51bbe2da0,llm-zoomcamp
Is there an API endpoint that shows when (and if) any of my Gemini models are expected to be available online?,d51bbe2da0,llm-zoomcamp
"For module 3's Kestra homework submission, do I really need to include any external code besides flow YAML files?
",f29f622684,llm-zoomcamp
How do I make a public GitHub repo for the purpose of this assignment?,f29f622684,llm-zoomcamp
"Can I ignore creating a README document if it's not strictly necessary?
",f29f622684,llm-zoomcamp
"What exactly counts as 'flow YAML files' – is it just the .yml files in Kestra or everything within a flow configuration?
",f29f622684,llm-zoomcamp
"Should I upload any other files, like script output or screenshot images, when submitting my homework?
",f29f622684,llm-zoomcamp
I'm getting a JSON Decode Error when trying to generate ground truth questions with the LLM. What could be causing this?,a3c7e1b4f9,llm-zoomcamp
How do I force JSON output from OpenAI and avoid this error? Can you show an example code snippet?,a3c7e1b4f9,llm-zoomcamp
Why does the LLM wrap the JSON in markdown codes or add prose around it leading to this error?,a3c7e1b4f9,llm-zoomcamp
Can I use a specific response format for models other than 'gpt-4o-mini' like Gromit? How do I do that?,a3c7e1b4f9,llm-zoomcamp
How to ensure JSON output is free of extra text and only contains the key-value pair when using OpenAI's response_format?,a3c7e1b4f9,llm-zoomcamp
"I'm using a small laptop and Jupyter kernel is crashing when embedding my model, what machine type should I use in codespaces?²",b8f2d6a30c,llm-zoomcamp
"What are the hit-rate / MRR numbers that can be affected by switching to a smaller embedder, how do I re-run eval after this change?",b8f2d6a30c,llm-zoomcamp
Can you give an example of separating the embedding step into a separate python script that I can run from terminal and then load back in notebook?,b8f2d6a30c,llm-zoomcamp
"How does processing the ground truth set in batches help free up memory between batches, is it worth it?",b8f2d6a30c,llm-zoomcamp
"I was wondering if there's any other options besides switching to a higher ram codespaces, setting aside more time for train and eval?",b8f2d6a30c,llm-zoomcamp
"Hey, I'm trying to generate a large ground-truth dataset but Free-tier Gemini is hitting rate limits on me. What's the most cost-effective option compared to just using this for the entire task?",c1e9f4b820,llm-zoomcamp
I want to use Groq's free tier to avoid hitting gemini limits. Are there any specific Groq plans or settings that can help manage concurrency to ensure I don't exceed the daily quota?,c1e9f4b820,llm-zoomcamp
"I've been having issues with Gemini limits while generating my dataset. What is your recommended pool size for thread-pool calls in this case, and are there any trade-offs I should consider when choosing a smaller pool size like 2 or 3 workers?",c1e9f4b820,llm-zoomcamp
I was interrupted in the middle of generating my ground-truth dataset and want to resume from where I left off. Are there any best practices for saving progress periodically to avoid losing work if I run into rate limits again?,c1e9f4b820,llm-zoomcamp
"Since Gemini has per-minute and per-day rate limits, is it worth considering using 'gpt-4o-mini' instead of continuing in the freetier plan just for a larger pool size or concurrent executions?",c1e9f4b820,llm-zoomcamp
What's going on with missing lessons in Module 4? I noticed there are gaps between lessons 6 and 11.,57c8d3a1e4,llm-zoomcamp
Can you explain why the filename for lesson 6 is different from your usual naming convention?,57c8d3a1e4,llm-zoomcamp
I'm trying to follow the course but it seems i missed some sections. Can you clarify about sub-sections 0.1-0.6 and 1.1-1.5 in Module 4?,57c8d3a1e4,llm-zoomcamp
How do i catch up on lessons 7-10 if they arent listed separately?,57c8d3a1e4,llm-zoomcamp
If each section is divided as mentioned (e.g 01-06: RAG evaluation) what is the significance of this 'split' structure?,57c8d3a1e4,llm-zoomcamp
"Hey there, I'm understanding why my MRR improves even though hit rate stays the same. Is it just because my top result is ranking better? Or are there other factors at play here?",8a5ece0688,llm-zoomcamp
What does 'Hit Rate can stay unchanged' actually mean? What if the first relevant document moves up but still isn't getting a full 1 point.,8a5ece0688,llm-zoomcamp
I've seen MRR improve sometimes even when Hit Rate stays the same. Does that mean that my ranking system is doing something right without moving my hit rate,8a5ece0688,llm-zoomcamp
"If Hit Rate and MRR are exactly equal, what does that even mean for me? Is it because all of my top results have moved up a bit? Or is this some other thing?",8a5ece0688,llm-zoomcamp
I'm having trouble with MRR staying the same on my query but still improving in terms of first relevance spot. Are there any edge cases I should be watching out for?,8a5ece0688,llm-zoomcamp
"Hi, I'm having trouble finding the code for the agent-evaluation lesson in module 4. Where is it located?",4de1cb9a3f,llm-zoomcamp
I've searched all of Github but can't seem to find the notebook/code for the 'Agent Evaluation' lesson in Module 4. Can you please provide more details or a link to where I could find it?,4de1cb9a3f,llm-zoomcamp
"For the agent-evaluation lesson in the LLM-Zoomcamp course, is there a code example included or should I look elsewhere? If so, how can I access that for review?",4de1cb9a3f,llm-zoomcamp
I am having issues locating the LLM-zoomcamp '04-Evaluation' notebook/code examples. Could you please assist me with finding the correct location of those resources in this module?,4de1cb9a3f,llm-zoomcamp
"Can you provide more details about the Visual C++ Redistributable, what's its download link and installation steps for Windows OS?",15e931476c,llm-zoomcamp
"I have installed Visual Studio Code to install PyTorch, but I still get the Osc error. What does this mean and can I proceed with installing without it?",15e931476c,llm-zoomcamp
Why the libbgemm.dll file is missing from my site packages directory while using pytorch library in python?,15e931476c,llm-zoomcamp
"do I need to stop all other applications before installing the Visual C++ Redistributable, will that cause any issues with current programs running.",15e931476c,llm-zoomcamp
"what kind of system requirements does this Python310 PyTorch installation on Windows OS have, is it compatible with an average mid-range computer?",15e931476c,llm-zoomcamp
I have an OperationalError when running my python script and it says No such host is known. How do I fix this issue considering my `.env` file has a `POSTGRES_HOST` variable set to the old host? Do I just remove the extra config or do something else?,4b65d5542d,llm-zoomcamp
"I updated the `POSTGRES_HOST` in my `.env` file from an old host to `localhost`, but still getting that error. Is there anything else I'm missing?

Can someone explain how it affects the connection like this and if I need to use any additional settings?",4b65d5542d,llm-zoomcamp
"If I have multiple environments set up (e.g. dev, prod) in my `.env` file but only use `localhost` when running python scripts 

- do i just switch to 'prod' env to resolve this issue or are there specific instructions for resolving the connection error and changing environment?",4b65d5542d,llm-zoomcamp
"Does setting `POSTGRES_HOST=localhost` mean that it should be able to connect without any hosts?
 How do I set a default host or do the python scripts 

- not always need localhost, they could potentially use something else from the `.env file in other sections?",4b65d5542d,llm-zoomcamp
is there just one way (or best practices) of managing these kinds of db connections and env's?,4b65d5542d,llm-zoomcamp
"Can you elaborate further on any issues with this environment 

 config setup?",4b65d5542d,llm-zoomcamp
"I'm trying to view the entire explanation provided by the judge LLM in the offline-rag-evaluation notebook, but Pandas is truncating the text content. How do I set Pandas to show the entire text content in a column? ",641aedbbf5,llm-zoomcamp
"Is it possible to override the default maximum width of 50 characters for displaying text columns in Pandas and if so, how do I do that?",641aedbbf5,llm-zoomcamp
"Can you provide more information about `display.max_colwidth` option in pandas, what does it set to and why would anyone use it?",641aedbbf5,llm-zoomcamp
"If I'm working with a large dataset with long explanations and need to view the entire content of each row without truncation, is using `pd.set_option` sufficient enough or are there further steps required?",641aedbbf5,llm-zoomcamp
How do I refer to Pandas documentation for options like `display.max_colwidth` properly.,641aedbbf5,llm-zoomcamp
Can you provide a step-by-step walk-through of normalizing vectors in a Pandas DataFrame column?,5039707c1a,llm-zoomcamp
How do I implement the `normalize_vec` function using Pandas Series,5039707c1a,llm-zoomcamp
When should I use vector normalization vs scaling?,5039707c1a,llm-zoomcamp
What is the difference between L1 and L2 normalization when applying to Pandas Series?,5039707c1a,llm-zoomcamp
Is there a specific type of data (e.g. categorical) for which these transformations are not applicable?,5039707c1a,llm-zoomcamp
Can you provide example of calculating percentiles using Pandas Series for data with multiple outliers?,b4c8ac5a0c,llm-zoomcamp
What is difference between quantile and percentile in context of data analysis?,b4c8ac5a0c,llm-zoomcamp
How to handle case sensitivity when computing quantiles on categorical DataFrame columns?,b4c8ac5a0c,llm-zoomcamp
"For skewed data, how to accurately compute 25th/75th percentiles using Pandas?",b4c8ac5a0c,llm-zoomcamp
Can you explain step-by-step example on calculating median and quantile for a specific column?,b4c8ac5a0c,llm-zoomcamp
